,ADA-USD,AVAX-USD,BCH-USD,BNB-USD,BTC-USD,CRO-USD,DOGE-USD,ETH-USD,HBAR-USD,LEO-USD,LINK-USD,LTC-USD,PYUSD-USD,RAIN-USD,SHIB-USD,SOL-USD,TON-USD,TRX-USD,WBT-USD,XLM-USD,XMR-USD,XRP-USD,ZEC-USD
2025-11-19 22:00:00+00:00,-0.005220169,-0.002899381,-0.003523451,-0.00568751,-0.002690176,-0.009327723,-0.007193361,-0.002780085,-0.011560397,-8.49E-05,-0.004125427,-0.003427786,0.000172724,0,-0.001127517,0.000568076,0,0.000817281,-0.00181561,-0.008357928,-0.001017501,0.000801181,0.00616943
2025-11-19 23:00:00+00:00,0.012902246,0.003895954,0.001331441,0.004235472,0.011515836,0.013980632,0.009115069,0.013841139,0.011992378,-0.000315543,0.014109517,0.00798547,0.000241382,0,0.003169835,0.009913326,0,0.00090948,0.007019159,0.013605653,0.003405472,0.00731525,0.003794539
2025-11-20 00:00:00+00:00,-0.001226469,-0.001863998,0.004476717,0.005104296,0.004009453,-0.004055354,-0.001160818,-0.001580191,-0.000327263,0.003849927,-0.001158299,-0.003722235,-9.12E-05,0,0.001054737,0.004732962,0,0.00181617,0.004274644,0.004143011,0.01630715,0.00089992,-0.005125113
2025-11-20 01:00:00+00:00,0.00746635,0.0058571,0.006905567,0.008207922,0.007272378,0.012968574,0.012351418,0.00790114,0.008672671,0.001770503,0.007051825,0.008928847,8.38E-05,0,0.006486981,0.015410592,0.05661217,9.02E-05,0.005560933,0.007119509,0.009777952,0.007526513,0.012912764
2025-11-20 02:00:00+00:00,0.003915529,0.001044828,-0.00641225,0.004267829,0.00138005,0.001707354,0.012043561,0.000414091,0.00520075,0.002422454,0.002035325,-0.001859014,-8.70E-05,0,0.004358259,0.027917942,-0.008769349,-0.000480249,-0.000320775,0.005814193,-0.002936656,0.001894556,-0.005122621
2025-11-20 03:00:00+00:00,-0.00285995,-0.000700513,0.000438411,-0.002003402,-0.001715515,-0.004886345,-0.002952493,-0.0018816,-0.00347975,0.000298098,0.000879904,-0.000334674,-2.05E-05,0,-0.001839413,-0.002582264,0,0.001467016,0.000536452,0.000343989,-0.00771845,0.001385252,0.028796207
2025-11-20 04:00:00+00:00,0.000103594,0.001637069,0.007167524,-0.001038438,0.003682754,0.000977418,0.001340048,0.003903618,0.00524221,0.001754829,0.003437978,0.001354299,-3.86E-05,0,0.001551824,0.00602275,0,5.39E-06,-0.001757317,0.003359978,-0.004864141,0.000505833,-0.010709395
2025-11-20 05:00:00+00:00,0.00032323,-0.003855558,0.026252696,-0.000572179,-0.002770842,-0.001691288,2.09E-05,-0.005307367,-0.000507763,0.000229788,0.006537032,-0.004257397,5.01E-05,-0.520110849,0.00026687,-0.000362905,0,0.000100053,0.001325852,0.00064075,-0.000447745,0.002203409,-0.003470841
2025-11-20 06:00:00+00:00,-0.004699268,-0.003012253,-0.013971381,-0.007294537,-0.007703738,-0.006395431,-0.006284534,-0.005910978,-0.004814643,-0.00027708,-0.003342895,-0.003514332,-7.57E-05,0,-0.003593728,-0.01021604,0,-0.001490015,-0.007108221,-0.004267338,-0.00016134,-0.006598921,-0.007262467
2025-11-20 07:00:00+00:00,0.011405488,0.007188658,0.009014203,0.006418569,0.00505025,0.008276732,0.008246502,0.007395253,0.008346505,0.000624579,0.011786543,0.005551607,0.000213227,0,0.00717532,0.008039664,0,0.001624268,0.00508165,0.003700597,-0.009551564,0.00655243,-0.014156069
2025-11-20 08:00:00+00:00,-0.003380831,-0.002064487,-0.006241831,-0.001930873,-0.002895967,-0.00511224,-0.002649341,-0.003094327,-0.004492329,-0.000962733,0.000825926,-0.003618307,-8.91E-05,0,-0.001112664,-0.002684217,0,-0.001611808,-0.002437887,-0.002304537,0.007696643,-0.005483717,0.001830194
2025-11-20 09:00:00+00:00,-0.004291685,-0.00499357,-0.006500072,-0.006288036,-0.002505171,-0.008827601,-0.00322823,-0.006803671,-0.006120372,-0.002392481,-0.004852248,-0.003329704,-1.40E-05,0,-0.004026237,-0.010084851,0,-0.002820475,-0.004952119,-0.004543385,-0.000924688,-0.004600506,-0.001047153
2025-11-20 10:00:00+00:00,-0.002368266,0.00079675,0.010695474,-0.000113676,-0.000878482,-0.003488695,0.003010633,0.000740006,0.000623759,-0.000785304,-0.010901828,0.000714654,-0.000349594,0,0.001229628,0.00168957,0,-0.001025414,-0.00323799,0.003292184,-0.003860004,0.00072075,0.000549761
2025-11-20 11:00:00+00:00,0.000734209,0.00539766,0.004496169,0.001802643,0.001938598,-0.000277068,0.0021543,0.003577897,-0.005822944,-0.000318638,0.000860547,0.000129245,0.000117082,0,0.001928352,-0.000916626,0,0.000514036,0.000722072,0.006228107,0.007696573,-0.002362105,3.45E-05
2025-11-20 12:00:00+00:00,0.008360196,0.006046642,-0.004010502,0.002028624,-0.001128214,0.016841645,0.006122805,0.001756611,0.007199474,-0.000320053,0.004573976,0.003304788,0.000164714,0,0.011370377,0.000426767,0.004195503,-0.002593404,0.000579075,0.002520137,-0.00602715,0.006191749,0.027734938
2025-11-20 13:00:00+00:00,-0.007020531,-0.002706983,-0.003302794,-0.003538625,-0.002277489,-0.013611379,-0.005014728,-0.008957811,-0.007143315,0.00088848,-0.010598146,-0.007295322,-0.000139546,0,-0.0029026,-0.007494089,0,-0.002372618,-0.003289887,-0.004897595,-0.013370473,-0.001555519,0.017139581
2025-11-20 14:00:00+00:00,-0.002357943,0.002438233,-0.000259537,-0.002544203,-0.006247474,-0.003506583,0.006336668,0.00089984,0.00231044,0.000176148,0.000855904,-1.23E-05,0.000308884,0,0.008541219,0.000480339,0,-0.004532472,-0.006942986,0.003535126,0.00193331,0.000744739,-0.005011995
2025-11-20 15:00:00+00:00,-0.016420087,-0.011073414,-0.005535608,-0.007173557,-0.011939684,-0.019002683,-0.007595281,-0.011823844,-0.015668729,-0.001407424,-0.011584137,-0.017084635,-0.000241374,0,-0.008446576,-0.013196013,0,-0.006435044,-0.006042778,-0.013975266,0.002908567,-0.016214477,-0.006718992
2025-11-20 16:00:00+00:00,-0.043791178,-0.041383887,-0.036665834,-0.015857392,-0.024861696,-0.030977098,-0.049828053,-0.039259282,-0.042755255,0.000496067,-0.043447654,-0.042481015,0.000115805,0,-0.03610675,-0.05426704,0,-0.012554921,-0.018388939,-0.036910709,-0.026248103,-0.041697421,-0.017596068
2025-11-20 17:00:00+00:00,-0.011416513,0.003199089,-0.0004916,0.000247417,-0.006956592,-0.010379886,-0.014367311,-0.006418234,-0.007812579,0.001378175,0.002947869,0.000941967,3.61E-05,0,-0.021309231,0.003826199,0,0.007341897,-0.012410117,-0.01216046,-0.012211864,-0.003944754,0.004834623
2025-11-20 18:00:00+00:00,-0.005130129,-0.00973759,-0.0079355,-0.005561988,-0.008965677,-0.004173534,-0.007394474,-0.008742542,-0.00706048,-0.003718485,-0.004238301,-0.00181269,-0.000154921,0,-0.009967978,0.001108177,0,-0.005451079,-0.008249373,-0.006854138,-0.018190561,-0.006147246,0.006778938
2025-11-20 19:00:00+00:00,0.008893926,0.009312368,0.001833465,0.006688815,0.00489135,0.009659118,0.015494988,0.013139776,0.010226726,-0.000572002,0.007226449,0.00184026,-0.000145342,0,0.014422727,0.009184127,-0.078906651,-0.002687323,0.004293656,0.011807505,-0.010946765,0.009495223,-0.003358336
2025-11-20 20:00:00+00:00,-0.001547761,0.004755764,-5.06E-05,-0.004647827,-0.004643766,0.007018349,-0.000164239,-0.004340988,0.002675348,0.001131937,-0.001478091,0.000157065,6.16E-05,0,-0.006581843,-0.000106975,0,8.54E-05,-0.0026657,0.003887781,-0.00491022,0.002581014,-0.013346897
2025-11-20 21:00:00+00:00,0.012510478,0.006126167,0.01141587,0.002878158,0.009902437,0.012141119,0.013682961,0.014765644,0.007157406,0.005294493,0.014061585,0.01158516,0.000407619,0,0.01877102,0.005105823,0,0.007002691,0.008108713,0.005870313,-0.000888269,0.007753235,0.028649855
2025-11-20 22:00:00+00:00,0.006171619,0.003902394,0.009305223,0.004086129,0.009643689,0.001687803,0.007876357,0.00327212,0.013065728,-0.00221686,0.0062925,0.007672878,-9.52E-05,0,0.006437646,0.013468329,0,0.002115812,0.003345829,0.007959668,0.007782861,0.00806646,-0.004247411
2025-11-20 23:00:00+00:00,-0.021729089,-0.008681451,-0.010743961,-0.016007289,-0.015462065,-0.018674607,-0.022174278,-0.017876366,-0.024316737,0.000706732,-0.022595721,-0.014590729,-0.000185202,0,-0.022192558,-0.019097892,0.013892677,-0.000527656,-0.009980752,-0.02261891,-0.004642786,-0.020775168,-0.059696541
2025-11-21 00:00:00+00:00,0.007209306,0.007260377,0.006795398,0.000661528,0.004880482,0.007665549,0.00439509,0.007154413,0.007678655,-0.000411855,0.01149819,0.009468781,-0.000149153,0,0.007737194,0.004058707,0,0.003924858,0.005410243,0.009037664,0.029163109,0.007159454,0.020511368
